Category,YoY Change(Percent),MoM Change(Percent),Industry Name,Job Postings,State
Remote,10,27,Ambulatory Health Care Services,1119,California
Remote,816,16,Food and Beverage Stores,943,California
Remote,261,22,Chemical Manufacturing,784,California
Remote,61,23,Credit Intermediation and Related Activities,629,California
Physical+Remote,-31,-9,Administrative and Support Services,33396,Colorado
Physical+Remote,-35,-9,"Professional, Scientific, and Technical Services",24412,Colorado
Physical+Remote,-29,-1,Ambulatory Health Care Services,13525,Colorado
Physical+Remote,-32,-8,Food Services and Drinking Places,11881,Colorado
Physical+Remote,-24,-3,Truck Transportation,9963,Colorado
Physical+Remote,-1,15,Publishing Industries (except Internet),7771,Colorado
Physical+Remote,-19,-7,Educational Services,7440,Colorado
Physical+Remote,-12,8,Hospitals,5290,Colorado
Physical+Remote,-7,-7,Telecommunications,5127,Colorado
Physical+Remote,-3,-6,Food and Beverage Stores,4595,Colorado
Remote,7,7,"Professional, Scientific, and Technical Services",1985,Colorado
Remote,11,-7,Administrative and Support Services,1878,Colorado
Remote,33,14,Insurance Carriers and Related Activities,1065,Colorado
Remote,55,27,Publishing Industries (except Internet),842,Colorado
Remote,20,15,Telecommunications,367,Colorado
Remote,56,4,Educational Services,288,Colorado
Remote,-9,3,Ambulatory Health Care Services,266,Colorado
Remote,784,8,Food and Beverage Stores,221,Colorado
Remote,98,7,Credit Intermediation and Related Activities,208,Colorado
Remote,1112,168,Transportation Equipment Manufacturing,206,Colorado
Physical+Remote,-34,3,Administrative and Support Services,22059,Connecticut
Physical+Remote,-30,5,"Professional, Scientific, and Technical Services",12628,Connecticut
Physical+Remote,-3,12,Ambulatory Health Care Services,7507,Connecticut
Physical+Remote,-42,8,Truck Transportation,6523,Connecticut
Physical+Remote,-31,3,Food Services and Drinking Places,4881,Connecticut
Physical+Remote,91,32,Health and Personal Care Stores,4470,Connecticut
Physical+Remote,-32,10,Educational Services,4246,Connecticut
Physical+Remote,18,1,Nursing and Residential Care Facilities,4072,Connecticut
Physical+Remote,-38,11,Insurance Carriers and Related Activities,3928,Connecticut
Physical+Remote,-3,2,Hospitals,3713,Connecticut
Remote,-9,19,"Professional, Scientific, and Technical Services",1108,Connecticut
Remote,-1,4,Administrative and Support Services,974,Connecticut
Remote,-39,17,Insurance Carriers and Related Activities,592,Connecticut
Remote,9,41,Publishing Industries (except Internet),175,Connecticut
Remote,89,14,Educational Services,168,Connecticut
Remote,85,-6,Ambulatory Health Care Services,133,Connecticut
Remote,240,-8,Computer and Electronic Product Manufacturing,102,Connecticut
Remote,388,66,Real Estate,78,Connecticut
Remote,11,46,Credit Intermediation and Related Activities,70,Connecticut
Remote,59,-33,"Merchant Wholesalers, Durable Goods",70,Connecticut
Remote,23,10,Administrative and Support Services,510,Delaware
Remote,-7,14,Insurance Carriers and Related Activities,380,Delaware
Remote,-26,4,"Professional, Scientific, and Technical Services",355,Delaware
Remote,-10,28,Ambulatory Health Care Services,74,Delaware
Remote,104,11,Publishing Industries (except Internet),49,Delaware
Remote,-11,55,Credit Intermediation and Related Activities,48,Delaware
Remote,10,10,Hospitals,44,Delaware
Remote,-51,-6,Educational Services,31,Delaware
Remote,107,15,Real Estate,31,Delaware
Remote,118,-4,Chemical Manufacturing,24,Delaware
Physical+Remote,-35,-4,Administrative and Support Services,6006,Delaware
Physical+Remote,-30,3,"Professional, Scientific, and Technical Services",4358,Delaware
Physical+Remote,-15,-3,Truck Transportation,2720,Delaware
Physical+Remote,5,5,Ambulatory Health Care Services,2373,Delaware
Physical+Remote,-35,0,Food Services and Drinking Places,2201,Delaware
Physical+Remote,-49,12,Credit Intermediation and Related Activities,1708,Delaware
Physical+Remote,4,16,Hospitals,1591,Delaware
Physical+Remote,-20,-11,General Merchandise Stores,1259,Delaware
Physical+Remote,-17,12,Insurance Carriers and Related Activities,1164,Delaware
Physical+Remote,245,16,National Security and International Affairs,960,Delaware
Physical+Remote,-26,7,"Professional, Scientific, and Technical Services",27181,Washington DC
Physical+Remote,-29,5,Administrative and Support Services,12906,Washington DC
Physical+Remote,-18,6,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",3694,Washington DC
Physical+Remote,-41,5,Educational Services,3214,Washington DC
Physical+Remote,-54,12,Ambulatory Health Care Services,2542,Washington DC
Physical+Remote,-29,6,Publishing Industries (except Internet),2039,Washington DC
Physical+Remote,-32,19,Insurance Carriers and Related Activities,1824,Washington DC
Physical+Remote,-33,-1,Food Services and Drinking Places,1778,Washington DC
Physical+Remote,-19,10,"Executive, Legislative, and Other General Government Support",1448,Washington DC
Physical+Remote,-42,5,Social Assistance,1401,Washington DC
Remote,65,11,"Professional, Scientific, and Technical Services",2267,Washington DC
Remote,44,5,Administrative and Support Services,812,Washington DC
Remote,18,18,Insurance Carriers and Related Activities,334,Washington DC
Remote,79,21,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",199,Washington DC
Remote,1,9,Publishing Industries (except Internet),173,Washington DC
Remote,58,17,Educational Services,166,Washington DC
Remote,16,30,Ambulatory Health Care Services,129,Washington DC
Remote,102,25,Social Assistance,89,Washington DC
Remote,14,20,Telecommunications,65,Washington DC
Remote,-21,5,Computer and Electronic Product Manufacturing,63,Washington DC
Remote,37,3,Administrative and Support Services,4463,Florida
Remote,-9,12,"Professional, Scientific, and Technical Services",3804,Florida
Remote,-12,14,Insurance Carriers and Related Activities,2961,Florida
Remote,72,27,Publishing Industries (except Internet),1012,Florida
Remote,280,-24,Real Estate,646,Florida
Remote,27,15,Ambulatory Health Care Services,555,Florida
Remote,83,17,Educational Services,535,Florida
Remote,114,11,Credit Intermediation and Related Activities,473,Florida
Remote,1116,51,Food and Beverage Stores,462,Florida
Remote,-27,-15,Nonstore Retailers,329,Florida
Physical+Remote,-19,2,Administrative and Support Services,89695,Florida
Physical+Remote,-26,5,"Professional, Scientific, and Technical Services",54498,Florida
Physical+Remote,1,6,Ambulatory Health Care Services,40731,Florida
Physical+Remote,-28,-3,Food Services and Drinking Places,37211,Florida
Physical+Remote,-13,13,Hospitals,19495,Florida
Physical+Remote,-12,10,Educational Services,15477,Florida
Physical+Remote,-16,0,General Merchandise Stores,15396,Florida
Physical+Remote,-31,8,Truck Transportation,13107,Florida
Physical+Remote,-39,6,Insurance Carriers and Related Activities,12281,Florida
Physical+Remote,1,10,Food and Beverage Stores,11574,Florida
Physical+Remote,-27,-7,Administrative and Support Services,59380,Georgia
Physical+Remote,-22,-9,"Professional, Scientific, and Technical Services",35644,Georgia
Physical+Remote,-29,-4,Truck Transportation,29671,Georgia
Physical+Remote,-21,-6,Food Services and Drinking Places,25005,Georgia
Physical+Remote,-3,-1,Ambulatory Health Care Services,17566,Georgia
Physical+Remote,-9,3,General Merchandise Stores,12432,Georgia
Physical+Remote,3,7,Hospitals,12358,Georgia
Physical+Remote,-23,-3,Educational Services,8972,Georgia
Physical+Remote,17,0,Motor Vehicle and Parts Dealers,7568,Georgia
Physical+Remote,-10,-2,Building Material and Garden Equipment and Supplies Dealers,6069,Georgia
Remote,19,0,"Professional, Scientific, and Technical Services",2736,Georgia
Remote,-5,-12,Administrative and Support Services,2712,Georgia
Remote,11,6,Insurance Carriers and Related Activities,1269,Georgia
Remote,97,18,Educational Services,661,Georgia
Remote,75,26,Publishing Industries (except Internet),543,Georgia
Remote,1422,88,Food and Beverage Stores,350,Georgia
Remote,1,3,Ambulatory Health Care Services,286,Georgia
Remote,54,-20,Computer and Electronic Product Manufacturing,253,Georgia
Remote,-14,30,Telecommunications,226,Georgia
Remote,213,18,"Merchant Wholesalers, Durable Goods",225,Georgia
Remote,384,32,Insurance Carriers and Related Activities,271,Hawaii
Remote,-12,16,Administrative and Support Services,230,Hawaii
Remote,-37,42,"Professional, Scientific, and Technical Services",226,Hawaii
Remote,96,11,Educational Services,104,Hawaii
Remote,50,164,Credit Intermediation and Related Activities,66,Hawaii
Remote,367,35,Real Estate,42,Hawaii
Remote,44,144,Ambulatory Health Care Services,39,Hawaii
Remote,29,63,Telecommunications,31,Hawaii
Remote,2800,107,Food and Beverage Stores,29,Hawaii
Remote,33,115,Publishing Industries (except Internet),28,Hawaii
Physical+Remote,-45,13,Administrative and Support Services,4544,Hawaii
Physical+Remote,-26,24,"Professional, Scientific, and Technical Services",3483,Hawaii
Physical+Remote,-16,7,Ambulatory Health Care Services,2072,Hawaii
Physical+Remote,-45,5,Food Services and Drinking Places,1446,Hawaii
Physical+Remote,27,21,National Security and International Affairs,1212,Hawaii
Physical+Remote,-16,29,Insurance Carriers and Related Activities,831,Hawaii
Physical+Remote,-49,13,General Merchandise Stores,636,Hawaii
Physical+Remote,-45,8,Educational Services,552,Hawaii
Physical+Remote,-52,6,Clothing and Clothing Accessories Stores,521,Hawaii
Physical+Remote,-27,-5,Health and Personal Care Stores,516,Hawaii
Physical+Remote,-44,-2,Administrative and Support Services,7204,Idaho
Physical+Remote,-37,8,Truck Transportation,3994,Idaho
Physical+Remote,-44,-7,"Professional, Scientific, and Technical Services",3747,Idaho
Physical+Remote,-30,-2,Food Services and Drinking Places,3642,Idaho
Physical+Remote,13,15,Hospitals,2661,Idaho
Physical+Remote,-22,6,Ambulatory Health Care Services,2637,Idaho
Physical+Remote,-41,-2,Educational Services,1506,Idaho
Physical+Remote,5,-9,Food and Beverage Stores,1336,Idaho
Physical+Remote,-13,1,General Merchandise Stores,1297,Idaho
Physical+Remote,12,-1,Social Assistance,1270,Idaho
Remote,-17,-10,Administrative and Support Services,593,Idaho
Remote,5,2,Insurance Carriers and Related Activities,373,Idaho
Remote,-58,-16,"Professional, Scientific, and Technical Services",298,Idaho
Remote,1009,103,Food and Beverage Stores,122,Idaho
Remote,15,11,Publishing Industries (except Internet),94,Idaho
Remote,-23,11,Ambulatory Health Care Services,80,Idaho
Remote,-43,7,Educational Services,77,Idaho
Remote,76,2,Real Estate,65,Idaho
Remote,15,-4,Social Assistance,47,Idaho
Remote,-21,2,Credit Intermediation and Related Activities,46,Idaho
Remote,12,-17,Administrative and Support Services,3352,Illinois
Remote,-27,5,"Professional, Scientific, and Technical Services",3133,Illinois
Remote,33,7,Insurance Carriers and Related Activities,1646,Illinois
Remote,192,21,Educational Services,1080,Illinois
Remote,27,15,Publishing Industries (except Internet),733,Illinois
Remote,16,-7,Ambulatory Health Care Services,529,Illinois
Remote,704,48,Food and Beverage Stores,450,Illinois
Remote,118,-17,Computer and Electronic Product Manufacturing,308,Illinois
Remote,73,-11,Credit Intermediation and Related Activities,242,Illinois
Remote,86,-1,Chemical Manufacturing,169,Illinois
Physical+Remote,-39,-11,Administrative and Support Services,68530,Illinois
Physical+Remote,-6,1,Truck Transportation,66842,Illinois
Physical+Remote,-42,-12,"Professional, Scientific, and Technical Services",40261,Illinois
Physical+Remote,-13,-1,Ambulatory Health Care Services,27293,Illinois
Physical+Remote,-40,-4,Food Services and Drinking Places,24167,Illinois
Physical+Remote,-12,-10,Educational Services,18245,Illinois
Physical+Remote,-25,2,General Merchandise Stores,12539,Illinois
Physical+Remote,-6,-7,Hospitals,10167,Illinois
Physical+Remote,-63,-2,Support Activities for Transportation,9218,Illinois
Physical+Remote,-15,10,Publishing Industries (except Internet),8332,Illinois
Physical+Remote,-20,3,Truck Transportation,39465,Indiana
Physical+Remote,-38,3,Administrative and Support Services,32899,Indiana
Physical+Remote,-27,0,Food Services and Drinking Places,17110,Indiana
Physical+Remote,-12,7,Ambulatory Health Care Services,13792,Indiana
Physical+Remote,-40,2,"Professional, Scientific, and Technical Services",13355,Indiana
Physical+Remote,-3,5,Hospitals,8115,Indiana
Physical+Remote,-27,4,General Merchandise Stores,7654,Indiana
Physical+Remote,-63,15,Support Activities for Transportation,5620,Indiana
Physical+Remote,-30,-11,Educational Services,5074,Indiana
Physical+Remote,23,5,Nursing and Residential Care Facilities,4817,Indiana
Remote,27,1,Administrative and Support Services,1393,Indiana
Remote,22,16,Insurance Carriers and Related Activities,964,Indiana
Remote,-31,17,"Professional, Scientific, and Technical Services",942,Indiana
Remote,270,23,Educational Services,500,Indiana
Remote,45,54,Publishing Industries (except Internet),226,Indiana
Remote,1600,288,Food and Beverage Stores,221,Indiana
Remote,-28,-23,Ambulatory Health Care Services,166,Indiana
Remote,117,7,Hospitals,128,Indiana
Remote,68,32,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",94,Indiana
Remote,31,20,"Merchant Wholesalers, Durable Goods",77,Indiana
Remote,-1,-14,Administrative and Support Services,989,Iowa
Remote,-4,79,"Professional, Scientific, and Technical Services",833,Iowa
Remote,-9,6,Insurance Carriers and Related Activities,596,Iowa
Remote,2736,47,Food and Beverage Stores,312,Iowa
Remote,1627,-44,Specialty Trade Contractors,259,Iowa
Remote,111,17,Educational Services,209,Iowa
Remote,16,51,Publishing Industries (except Internet),113,Iowa
Remote,-12,78,Credit Intermediation and Related Activities,80,Iowa
Remote,94,19,Hospitals,62,Iowa
Remote,-6,-77,Ambulatory Health Care Services,60,Iowa
Physical+Remote,-17,-1,Truck Transportation,27562,Iowa
Physical+Remote,-40,-4,Administrative and Support Services,17447,Iowa
Physical+Remote,16,6,Ambulatory Health Care Services,7989,Iowa
Physical+Remote,-47,0,"Professional, Scientific, and Technical Services",7359,Iowa
Physical+Remote,-36,-4,Food Services and Drinking Places,6071,Iowa
Physical+Remote,0,6,General Merchandise Stores,4740,Iowa
Physical+Remote,-58,-16,Support Activities for Transportation,3740,Iowa
Physical+Remote,-25,-5,Food and Beverage Stores,3678,Iowa
Physical+Remote,-27,0,Educational Services,3637,Iowa
Physical+Remote,10,32,Hospitals,2838,Iowa
Physical+Remote,-11,4,Truck Transportation,17526,Kansas
Physical+Remote,-38,1,Administrative and Support Services,14497,Kansas
Physical+Remote,-25,-1,Food Services and Drinking Places,8877,Kansas
Physical+Remote,-22,7,"Professional, Scientific, and Technical Services",8763,Kansas
Physical+Remote,8,10,Ambulatory Health Care Services,7274,Kansas
Physical+Remote,18,28,General Merchandise Stores,6037,Kansas
Physical+Remote,6,15,Hospitals,5802,Kansas
Physical+Remote,1,0,Educational Services,4664,Kansas
Physical+Remote,-54,14,Support Activities for Transportation,2620,Kansas
Physical+Remote,-3,5,Nursing and Residential Care Facilities,2433,Kansas
Remote,10,56,"Professional, Scientific, and Technical Services",1044,Kansas
Remote,43,-11,Administrative and Support Services,997,Kansas
Remote,4,9,Insurance Carriers and Related Activities,586,Kansas
Remote,0,110,Food and Beverage Stores,239,Kansas
Remote,41,15,Educational Services,174,Kansas
Remote,52,29,Publishing Industries (except Internet),147,Kansas
Remote,1286,0,Hospitals,97,Kansas
Remote,650,18,Real Estate,90,Kansas
Remote,77,-53,Ambulatory Health Care Services,78,Kansas
Remote,-20,33,Telecommunications,72,Kansas
Physical+Remote,-3,3,Truck Transportation,38659,Kentucky
Physical+Remote,-35,3,Administrative and Support Services,19889,Kentucky
Physical+Remote,-32,-6,Food Services and Drinking Places,10887,Kentucky
Physical+Remote,-20,-1,"Professional, Scientific, and Technical Services",9264,Kentucky
Physical+Remote,0,4,Ambulatory Health Care Services,8860,Kentucky
Physical+Remote,-13,4,General Merchandise Stores,7070,Kentucky
Physical+Remote,-39,49,Support Activities for Transportation,5064,Kentucky
Physical+Remote,5,3,Hospitals,4593,Kentucky
Physical+Remote,-43,-9,Educational Services,3586,Kentucky
Physical+Remote,30,9,Motor Vehicle and Parts Dealers,2936,Kentucky
Remote,2,2,Administrative and Support Services,1054,Kentucky
Remote,-16,23,Insurance Carriers and Related Activities,708,Kentucky
Remote,-24,19,"Professional, Scientific, and Technical Services",679,Kentucky
Remote,73,42,Educational Services,223,Kentucky
Remote,16500,108,Food and Beverage Stores,166,Kentucky
Remote,20,11,Publishing Industries (except Internet),126,Kentucky
Remote,341,295,Administration of Economic Programs,75,Kentucky
Remote,204,109,Real Estate,73,Kentucky
Remote,-16,-53,Ambulatory Health Care Services,69,Kentucky
Remote,-23,23,Credit Intermediation and Related Activities,54,Kentucky
Physical+Remote,-25,3,Truck Transportation,17538,Louisiana
Physical+Remote,-44,1,Administrative and Support Services,15236,Louisiana
Physical+Remote,-29,2,Food Services and Drinking Places,9482,Louisiana
Physical+Remote,-29,6,"Professional, Scientific, and Technical Services",9199,Louisiana
Physical+Remote,-2,-1,Ambulatory Health Care Services,6608,Louisiana
Physical+Remote,-18,-4,General Merchandise Stores,6060,Louisiana
Physical+Remote,-13,6,Hospitals,3799,Louisiana
Physical+Remote,13,3,Motor Vehicle and Parts Dealers,2534,Louisiana
Physical+Remote,-23,47,Support Activities for Transportation,2442,Louisiana
Physical+Remote,10,13,Food and Beverage Stores,2291,Louisiana
Remote,-13,-3,Administrative and Support Services,869,Louisiana
Remote,23,-8,"Executive, Legislative, and Other General Government Support",785,Louisiana
Remote,-42,-3,"Professional, Scientific, and Technical Services",689,Louisiana
Remote,-1,6,Insurance Carriers and Related Activities,659,Louisiana
Remote,148,24,Educational Services,330,Louisiana
Remote,1989,90,Food and Beverage Stores,188,Louisiana
Remote,42,-8,Ambulatory Health Care Services,122,Louisiana
Remote,6,12,Publishing Industries (except Internet),118,Louisiana
Remote,425,29,Hospitals,84,Louisiana
Remote,80,21,Real Estate,63,Louisiana
Physical+Remote,-35,6,Administrative and Support Services,10247,Maine
Physical+Remote,-14,7,"Professional, Scientific, and Technical Services",5096,Maine
Physical+Remote,-6,6,Hospitals,4682,Maine
Physical+Remote,-11,-2,Truck Transportation,4496,Maine
Physical+Remote,-9,8,Ambulatory Health Care Services,3647,Maine
Physical+Remote,-44,9,Food Services and Drinking Places,2649,Maine
Physical+Remote,13,7,Food and Beverage Stores,2121,Maine
Physical+Remote,-25,5,General Merchandise Stores,1976,Maine
Physical+Remote,-25,10,Educational Services,1480,Maine
Physical+Remote,-14,18,Insurance Carriers and Related Activities,1233,Maine
Remote,6,14,Administrative and Support Services,623,Maine
Remote,-27,24,"Professional, Scientific, and Technical Services",465,Maine
Remote,-28,13,Insurance Carriers and Related Activities,313,Maine
Remote,2062,-16,Hospitals,281,Maine
Remote,78,21,Educational Services,137,Maine
Remote,95,21,Ambulatory Health Care Services,117,Maine
Remote,250,142,Real Estate,63,Maine
Remote,93,35,Publishing Industries (except Internet),58,Maine
Remote,1175,96,Food and Beverage Stores,51,Maine
Remote,7,52,Credit Intermediation and Related Activities,47,Maine
Remote,-4,-15,"Professional, Scientific, and Technical Services",1952,Maryland
Remote,-4,-5,Administrative and Support Services,1391,Maryland
Remote,21,1,Insurance Carriers and Related Activities,1024,Maryland
Remote,186,27,Educational Services,604,Maryland
Remote,195,-15,Ambulatory Health Care Services,251,Maryland
Remote,73,15,Publishing Industries (except Internet),251,Maryland
Remote,100,-18,Computer and Electronic Product Manufacturing,188,Maryland
Remote,850,46,Food and Beverage Stores,133,Maryland
Remote,-23,-8,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",101,Maryland
Remote,300,16,Hospitals,100,Maryland
Physical+Remote,-12,-5,"Professional, Scientific, and Technical Services",39903,Maryland
Physical+Remote,-37,-8,Administrative and Support Services,34193,Maryland
Physical+Remote,-21,3,Truck Transportation,17506,Maryland
Physical+Remote,-24,1,Food Services and Drinking Places,12075,Maryland
Physical+Remote,-12,-7,Ambulatory Health Care Services,11115,Maryland
Physical+Remote,-33,-13,Educational Services,8939,Maryland
Physical+Remote,-26,-7,Hospitals,5119,Maryland
Physical+Remote,-24,-3,General Merchandise Stores,4738,Maryland
Physical+Remote,317,36,Nonstore Retailers,4181,Maryland
Physical+Remote,-4,4,Food and Beverage Stores,3911,Maryland
Physical+Remote,-31,-8,Administrative and Support Services,51885,Massachusetts
Physical+Remote,-27,-10,"Professional, Scientific, and Technical Services",35339,Massachusetts
Physical+Remote,-2,-1,Ambulatory Health Care Services,18582,Massachusetts
Physical+Remote,12,0,Hospitals,14633,Massachusetts
Physical+Remote,-35,1,Educational Services,12454,Massachusetts
Physical+Remote,-43,2,Truck Transportation,10027,Massachusetts
Physical+Remote,16,0,Publishing Industries (except Internet),10022,Massachusetts
Physical+Remote,-43,-2,Food Services and Drinking Places,9658,Massachusetts
Physical+Remote,98,39,Nonstore Retailers,7963,Massachusetts
Physical+Remote,-1,-2,Chemical Manufacturing,7066,Massachusetts
Remote,3,-3,"Professional, Scientific, and Technical Services",2192,Massachusetts
Remote,31,-10,Administrative and Support Services,2095,Massachusetts
Remote,60,19,Publishing Industries (except Internet),655,Massachusetts
Remote,341,24,Educational Services,640,Massachusetts
Remote,-24,-4,Insurance Carriers and Related Activities,637,Massachusetts
Remote,58,-6,Computer and Electronic Product Manufacturing,483,Massachusetts
Remote,164,6,Ambulatory Health Care Services,320,Massachusetts
Remote,81,17,Chemical Manufacturing,212,Massachusetts
Remote,40,-7,Social Assistance,160,Massachusetts
Remote,675,20,Food and Beverage Stores,155,Massachusetts
Physical+Remote,-34,-1,Administrative and Support Services,48636,Michigan
Physical+Remote,-28,3,"Professional, Scientific, and Technical Services",26855,Michigan
Physical+Remote,-27,-4,Food Services and Drinking Places,21869,Michigan
Physical+Remote,-38,-2,Truck Transportation,20380,Michigan
Physical+Remote,1,10,Ambulatory Health Care Services,18325,Michigan
Physical+Remote,-21,-4,General Merchandise Stores,12069,Michigan
Physical+Remote,-11,8,Hospitals,9885,Michigan
Physical+Remote,-30,-2,Educational Services,9134,Michigan
Physical+Remote,43,7,Motor Vehicle and Parts Dealers,7263,Michigan
Physical+Remote,-3,12,Building Material and Garden Equipment and Supplies Dealers,5170,Michigan
Remote,-5,11,"Professional, Scientific, and Technical Services",1713,Michigan
Remote,9,-1,Administrative and Support Services,1649,Michigan
Remote,74,3,Insurance Carriers and Related Activities,1061,Michigan
Remote,128,30,Educational Services,871,Michigan
Remote,396,-3,Ambulatory Health Care Services,818,Michigan
Remote,16950,64,Food and Beverage Stores,341,Michigan
Remote,7,-9,Publishing Industries (except Internet),322,Michigan
Remote,91,-6,Credit Intermediation and Related Activities,170,Michigan
Remote,73,-1,Computer and Electronic Product Manufacturing,149,Michigan
Remote,41,48,Miscellaneous Manufacturing,121,Minnesota
