Category,YoY Change(Percent),MoM Change(Percent),Occupation Name,Job Postings,State
Remote,90,8,"Computer Occupations, All Other",381,Colorado
Remote,1232,8,Childcare Workers,333,Colorado
Remote,67,2,Computer User Support Specialists,331,Colorado
Remote,54,18,Marketing Managers,311,Colorado
Remote,57,6,Network and Computer Systems Administrators,286,Colorado
Remote,1433,15,Loan Officers,276,Colorado
Remote,-9,-32,Sales Managers,253,Colorado
Physical+Remote,-25,4,Heavy and Tractor-Trailer Truck Drivers,8366,Connecticut
Physical+Remote,-37,9,Registered Nurses,7367,Connecticut
Physical+Remote,-20,8,Retail Salespersons,3962,Connecticut
Physical+Remote,-14,1,First-Line Supervisors of Retail Sales Workers,3818,Connecticut
Physical+Remote,21,26,Customer Service Representatives,3536,Connecticut
Physical+Remote,-25,4,"Software Developers, Applications",2829,Connecticut
Physical+Remote,57,23,Stock Clerks and Order Fillers,2541,Connecticut
Physical+Remote,104,22,Childcare Workers,2427,Connecticut
Physical+Remote,-28,31,Light Truck or Delivery Services Drivers,2051,Connecticut
Physical+Remote,-26,10,Accountants and Auditors,1901,Connecticut
Remote,69,4,"Software Developers, Applications",352,Connecticut
Remote,240,23,"Computer Occupations, All Other",211,Connecticut
Remote,-8,-17,Customer Service Representatives,209,Connecticut
Remote,2771,55,Childcare Workers,201,Connecticut
Remote,-64,13,Insurance Sales Agents,137,Connecticut
Remote,36,36,Accountants and Auditors,128,Connecticut
Remote,2,-20,Computer Systems Analysts,124,Connecticut
Remote,44,0,Computer User Support Specialists,114,Connecticut
Remote,-3,-28,Sales Managers,113,Connecticut
Remote,50,23,Marketing Managers,111,Connecticut
Remote,-25,-2,Insurance Sales Agents,172,Delaware
Remote,45,3,Customer Service Representatives,157,Delaware
Remote,9,11,"Software Developers, Applications",126,Delaware
Remote,141,21,"Computer Occupations, All Other",82,Delaware
Remote,1260,143,Loan Officers,68,Delaware
Remote,64,21,Computer User Support Specialists,64,Delaware
Remote,189,12,Accountants and Auditors,55,Delaware
Remote,-2,33,Computer Systems Analysts,52,Delaware
Remote,41,22,Marketing Managers,45,Delaware
Remote,95,16,Network and Computer Systems Administrators,43,Delaware
Physical+Remote,-4,-7,Heavy and Tractor-Trailer Truck Drivers,3657,Delaware
Physical+Remote,-23,-1,Registered Nurses,2031,Delaware
Physical+Remote,-14,2,Retail Salespersons,1432,Delaware
Physical+Remote,-29,-2,First-Line Supervisors of Retail Sales Workers,1421,Delaware
Physical+Remote,-39,-6,"Software Developers, Applications",1071,Delaware
Physical+Remote,-22,2,Customer Service Representatives,897,Delaware
Physical+Remote,62,14,Stock Clerks and Order Fillers,835,Delaware
Physical+Remote,14,25,Light Truck or Delivery Services Drivers,831,Delaware
Physical+Remote,10,5,Speech-Language Pathologists,680,Delaware
Physical+Remote,-37,5,"Computer Occupations, All Other",562,Delaware
Physical+Remote,-26,8,"Software Developers, Applications",4923,Washington DC
Physical+Remote,-19,4,"Computer Occupations, All Other",3824,Washington DC
Physical+Remote,4,8,Management Analysts,3414,Washington DC
Physical+Remote,-19,3,Information Security Analysts,3098,Washington DC
Physical+Remote,-38,19,Registered Nurses,2890,Washington DC
Physical+Remote,-19,2,Network and Computer Systems Administrators,2679,Washington DC
Physical+Remote,-13,8,Computer User Support Specialists,2473,Washington DC
Physical+Remote,7,18,Lawyers,2315,Washington DC
Physical+Remote,-15,3,"Managers, All Other",2167,Washington DC
Physical+Remote,-17,4,Computer Systems Analysts,2149,Washington DC
Remote,94,5,"Software Developers, Applications",754,Washington DC
Remote,91,15,"Computer Occupations, All Other",362,Washington DC
Remote,40,3,Network and Computer Systems Administrators,254,Washington DC
Remote,50,16,Web Developers,197,Washington DC
Remote,68,14,Information Security Analysts,190,Washington DC
Remote,70,22,Management Analysts,180,Washington DC
Remote,35,3,Marketing Managers,167,Washington DC
Remote,40,9,Computer User Support Specialists,158,Washington DC
Remote,32,20,Computer Systems Analysts,147,Washington DC
Remote,-27,-4,Sales Managers,141,Washington DC
Remote,126,5,Customer Service Representatives,2278,Florida
Remote,5,9,Insurance Sales Agents,2244,Florida
Remote,83,22,"Software Developers, Applications",1377,Florida
Remote,858,-17,Real Estate Sales Agents,843,Florida
Remote,110,19,"Computer Occupations, All Other",698,Florida
Remote,78,10,Computer User Support Specialists,616,Florida
Remote,555,25,Loan Officers,576,Florida
Remote,63,31,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",533,Florida
Remote,89,11,Telemarketers,481,Florida
Remote,-7,-5,Sales Managers,480,Florida
Physical+Remote,0,7,Registered Nurses,37041,Florida
Physical+Remote,-18,3,Retail Salespersons,19735,Florida
Physical+Remote,-15,0,First-Line Supervisors of Retail Sales Workers,19483,Florida
Physical+Remote,-16,5,Heavy and Tractor-Trailer Truck Drivers,18827,Florida
Physical+Remote,-16,7,Customer Service Representatives,15745,Florida
Physical+Remote,-21,10,"Software Developers, Applications",9882,Florida
Physical+Remote,9,10,Stock Clerks and Order Fillers,8562,Florida
Physical+Remote,62,-1,"Physicians and Surgeons, All Other",7677,Florida
Physical+Remote,13,17,Light Truck or Delivery Services Drivers,7656,Florida
Physical+Remote,-32,4,First-Line Supervisors of Office and Administrative Support Workers,7651,Florida
Physical+Remote,-23,-6,Heavy and Tractor-Trailer Truck Drivers,37146,Georgia
Physical+Remote,-27,3,Registered Nurses,20952,Georgia
Physical+Remote,-13,1,First-Line Supervisors of Retail Sales Workers,13150,Georgia
Physical+Remote,-13,-1,Retail Salespersons,11291,Georgia
Physical+Remote,-18,-13,"Software Developers, Applications",8605,Georgia
Physical+Remote,-25,-4,Customer Service Representatives,7533,Georgia
Physical+Remote,-7,12,Light Truck or Delivery Services Drivers,6431,Georgia
Physical+Remote,14,6,Stock Clerks and Order Fillers,5687,Georgia
Physical+Remote,-23,-14,"Computer Occupations, All Other",5361,Georgia
Physical+Remote,1,-1,Speech-Language Pathologists,4884,Georgia
Remote,116,4,"Software Developers, Applications",1194,Georgia
Remote,21,0,Insurance Sales Agents,937,Georgia
Remote,36,-14,Customer Service Representatives,883,Georgia
Remote,77,5,"Computer Occupations, All Other",522,Georgia
Remote,89,30,Accountants and Auditors,351,Georgia
Remote,1630,8,Childcare Workers,346,Georgia
Remote,32,-8,Computer User Support Specialists,346,Georgia
Remote,105,10,Web Developers,341,Georgia
Remote,-16,-25,Sales Managers,340,Georgia
Remote,32,14,Marketing Managers,324,Georgia
Remote,427,111,Customer Service Representatives,253,Hawaii
Remote,521,17,Insurance Sales Agents,149,Hawaii
Remote,194,100,"Software Developers, Applications",100,Hawaii
Remote,307,56,Computer User Support Specialists,61,Hawaii
Remote,132,100,"Computer Occupations, All Other",58,Hawaii
Remote,262,47,Network and Computer Systems Administrators,47,Hawaii
Remote,283,130,Marketing Managers,46,Hawaii
Remote,150,30,Registered Nurses,35,Hawaii
Remote,520,48,Loan Officers,31,Hawaii
Remote,88,114,Accountants and Auditors,30,Hawaii
Physical+Remote,-37,15,Registered Nurses,2218,Hawaii
Physical+Remote,-44,11,Retail Salespersons,1111,Hawaii
Physical+Remote,-42,8,First-Line Supervisors of Retail Sales Workers,911,Hawaii
Physical+Remote,-26,40,Customer Service Representatives,870,Hawaii
Physical+Remote,8,22,Light Truck or Delivery Services Drivers,519,Hawaii
Physical+Remote,-2,11,Network and Computer Systems Administrators,517,Hawaii
Physical+Remote,-4,26,Computer User Support Specialists,495,Hawaii
Physical+Remote,-46,13,First-Line Supervisors of Office and Administrative Support Workers,467,Hawaii
Physical+Remote,-26,4,Security Guards,465,Hawaii
Physical+Remote,-37,20,Stock Clerks and Order Fillers,447,Hawaii
Physical+Remote,-31,8,Heavy and Tractor-Trailer Truck Drivers,4830,Idaho
Physical+Remote,-42,14,Registered Nurses,3152,Idaho
Physical+Remote,0,6,Customer Service Representatives,2016,Idaho
Physical+Remote,15,27,Light Truck or Delivery Services Drivers,1843,Idaho
Physical+Remote,-19,-1,Retail Salespersons,1770,Idaho
Physical+Remote,-11,0,First-Line Supervisors of Retail Sales Workers,1509,Idaho
Physical+Remote,13,2,Stock Clerks and Order Fillers,1060,Idaho
Physical+Remote,76,3,Childcare Workers,810,Idaho
Physical+Remote,-20,1,"Software Developers, Applications",800,Idaho
Physical+Remote,-6,1,First-Line Supervisors of Food Preparation and Serving Workers,795,Idaho
Remote,244,15,Customer Service Representatives,458,Idaho
Remote,-27,-3,Insurance Sales Agents,297,Idaho
Remote,73,32,"Software Developers, Applications",144,Idaho
Remote,172,13,Computer User Support Specialists,106,Idaho
Remote,106,16,"Computer Occupations, All Other",103,Idaho
Remote,40,-18,Telemarketers,74,Idaho
Remote,-82,-5,Postsecondary Teachers,52,Idaho
Remote,20,-29,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",48,Idaho
Remote,1467,18,Childcare Workers,47,Idaho
Remote,35,12,First-Line Supervisors of Office and Administrative Support Workers,46,Idaho
Remote,-26,5,Insurance Sales Agents,1452,Illinois
Remote,66,26,"Software Developers, Applications",1429,Illinois
Remote,56,-46,Customer Service Representatives,762,Illinois
Remote,2174,9,Childcare Workers,614,Illinois
Remote,54,2,"Computer Occupations, All Other",559,Illinois
Remote,37,-3,Marketing Managers,410,Illinois
Remote,7620,50,Billing and Posting Clerks,386,Illinois
Remote,23,-9,Computer User Support Specialists,349,Illinois
Remote,-1,-14,Computer Systems Analysts,323,Illinois
Remote,-37,-44,Sales Managers,323,Illinois
Physical+Remote,-19,-6,Heavy and Tractor-Trailer Truck Drivers,74432,Illinois
Physical+Remote,-49,-3,Registered Nurses,18001,Illinois
Physical+Remote,-22,0,First-Line Supervisors of Retail Sales Workers,14036,Illinois
Physical+Remote,-24,4,Retail Salespersons,12321,Illinois
Physical+Remote,-29,-12,"Software Developers, Applications",11095,Illinois
Physical+Remote,-32,-10,Customer Service Representatives,8314,Illinois
Physical+Remote,23,6,Stock Clerks and Order Fillers,7593,Illinois
Physical+Remote,-40,3,Light Truck or Delivery Services Drivers,7386,Illinois
Physical+Remote,-30,-15,"Computer Occupations, All Other",6462,Illinois
Physical+Remote,32,33,Driver/Sales Workers,6175,Illinois
Physical+Remote,-30,-4,Heavy and Tractor-Trailer Truck Drivers,44078,Indiana
Physical+Remote,-41,12,Registered Nurses,12026,Indiana
Physical+Remote,-23,-1,First-Line Supervisors of Retail Sales Workers,8172,Indiana
Physical+Remote,-17,9,Retail Salespersons,7445,Indiana
Physical+Remote,-13,15,Light Truck or Delivery Services Drivers,5226,Indiana
Physical+Remote,24,9,Stock Clerks and Order Fillers,4719,Indiana
Physical+Remote,-27,0,Customer Service Representatives,4590,Indiana
Physical+Remote,-23,4,First-Line Supervisors of Food Preparation and Serving Workers,3725,Indiana
Physical+Remote,39,75,Driver/Sales Workers,3548,Indiana
Physical+Remote,-23,8,"Combined Food Preparation and Serving Workers, Including Fast Food",3267,Indiana
Remote,64,14,nsurance Sales Agents,879,Indiana
Remote,45,-27,Customer Service Representatives,415,Indiana
Remote,80,51,"Software Developers, Applications",336,Indiana
Remote,81,53,"Computer Occupations, All Other",197,Indiana
Remote,3700,57,Billing and Posting Clerks,190,Indiana
Remote,48,17,Computer User Support Specialists,169,Indiana
Remote,3350,-14,Childcare Workers,138,Indiana
Remote,1843,15,Medical Assistants,136,Indiana
Remote,77,-28,Telemarketers,129,Indiana
Remote,29,38,Accountants and Auditors,123,Indiana
Remote,63,9,Insurance Sales Agents,627,Iowa
Remote,244,-36,Customer Service Representatives,619,Iowa
Remote,416,153,"Software Developers, Applications",490,Iowa
Remote,613,-46,Telemarketers,221,Iowa
Remote,111,40,"Computer Occupations, All Other",118,Iowa
Remote,17,20,Accountants and Auditors,89,Iowa
Remote,419,1975,"Software Developers, Systems Software",83,Iowa
Remote,-84,25,Postsecondary Teachers,81,Iowa
Remote,57,-20,Computer User Support Specialists,80,Iowa
Remote,-56,-23,"Sales Representatives, Services, All Other",77,Iowa
Physical+Remote,-27,-14,Heavy and Tractor-Trailer Truck Drivers,29830,Iowa
Physical+Remote,-36,10,Registered Nurses,7771,Iowa
Physical+Remote,-21,2,First-Line Supervisors of Retail Sales Workers,4322,Iowa
Physical+Remote,-11,3,Retail Salespersons,3656,Iowa
Physical+Remote,-28,15,Light Truck or Delivery Services Drivers,3504,Iowa
Physical+Remote,-2,-11,Customer Service Representatives,2979,Iowa
Physical+Remote,26,17,Stock Clerks and Order Fillers,2077,Iowa
Physical+Remote,-17,-2,First-Line Supervisors of Food Preparation and Serving Workers,1939,Iowa
Physical+Remote,-36,87,Driver/Sales Workers,1788,Iowa
Physical+Remote,-40,3,"Maintenance and Repair Workers, General",1740,Iowa
Remote,54,21,Insurance Sales Agents,590,Kansas
Remote,249,-21,Customer Service Representatives,545,Kansas
Remote,272,114,"Software Developers, Applications",458,Kansas
Remote,900,-29,Telemarketers,150,Kansas
Remote,72,13,Computer User Support Specialists,143,Kansas
Remote,128,43,"Computer Occupations, All Other",139,Kansas
Remote,3167,-6,Childcare Workers,98,Kansas
Remote,83,24,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",97,Kansas
Remote,166,66,Accountants and Auditors,93,Kansas
Remote,-58,52,Data Entry Keyers,88,Kansas
Physical+Remote,-20,-2,Heavy and Tractor-Trailer Truck Drivers,19875,Kansas
Physical+Remote,-31,16,Registered Nurses,7290,Kansas
Physical+Remote,-6,8,First-Line Supervisors of Retail Sales Workers,4865,Kansas
Physical+Remote,10,24,Retail Salespersons,4663,Kansas
Physical+Remote,-32,17,Light Truck or Delivery Services Drivers,3012,Kansas
Physical+Remote,-9,1,Customer Service Representatives,2919,Kansas
Physical+Remote,38,12,Stock Clerks and Order Fillers,2431,Kansas
Physical+Remote,-21,3,First-Line Supervisors of Food Preparation and Serving Workers,2084,Kansas
Physical+Remote,29,4,Nursing Assistants,1725,Kansas
Physical+Remote,2,22,"Software Developers, Applications",1671,Kansas
Remote,539,1,Demonstrators and Product Promoters,556,Kentucky
Remote,35,7,Insurance Sales Agents,545,Kentucky
Remote,99,-9,Customer Service Representatives,338,Kentucky
Remote,131,42,"Software Developers, Applications",240,Kentucky
Remote,4167,86,Billing and Posting Clerks,128,Kentucky
Remote,127,34,"Computer Occupations, All Other",125,Kentucky
Remote,55,13,Computer User Support Specialists,124,Kentucky
Remote,310,-34,Telemarketers,119,Kentucky
Remote,7900,23,Childcare Workers,80,Kentucky
Remote,41,13,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",76,Kentucky
Physical+Remote,-7,-3,Heavy and Tractor-Trailer Truck Drivers,42402,Kentucky
Physical+Remote,-40,6,Registered Nurses,7492,Kentucky
Physical+Remote,-19,4,First-Line Supervisors of Retail Sales Workers,6479,Kentucky
Physical+Remote,-16,6,Retail Salespersons,4898,Kentucky
Physical+Remote,-20,13,Light Truck or Delivery Services Drivers,3867,Kentucky
Physical+Remote,50,11,Stock Clerks and Order Fillers,3639,Kentucky
Physical+Remote,-27,0,Customer Service Representatives,3197,Kentucky
Physical+Remote,13,48,Driver/Sales Workers,2655,Kentucky
Physical+Remote,-20,4,First-Line Supervisors of Food Preparation and Serving Workers,2358,Kentucky
Physical+Remote,-19,11,"Combined Food Preparation and Serving Workers, Including Fast Food",2055,Kentucky
Physical+Remote,-23,-6,Heavy and Tractor-Trailer Truck Drivers,18854,Louisiana
Physical+Remote,-35,8,Registered Nurses,8785,Louisiana
Physical+Remote,-15,0,First-Line Supervisors of Retail Sales Workers,6400,Louisiana
Physical+Remote,-11,0,Retail Salespersons,4939,Louisiana
Physical+Remote,15,22,Customer Service Representatives,4620,Louisiana
Physical+Remote,-14,19,Light Truck or Delivery Services Drivers,3132,Louisiana
Physical+Remote,43,82,Driver/Sales Workers,2581,Louisiana
Physical+Remote,-14,10,First-Line Supervisors of Food Preparation and Serving Workers,2200,Louisiana
Physical+Remote,12,6,Stock Clerks and Order Fillers,1964,Louisiana
Physical+Remote,-15,12,"Combined Food Preparation and Serving Workers, Including Fast Food",1904,Louisiana
Remote,657,59,Customer Service Representatives,1264,Louisiana
Remote,56,19,Insurance Sales Agents,720,Louisiana
Remote,87,23,"Software Developers, Applications",269,Louisiana
Remote,115,64,Accountants and Auditors,189,Louisiana
Remote,108,47,"Computer Occupations, All Other",150,Louisiana
Remote,53,3,Computer User Support Specialists,148,Louisiana
Remote,4733,42,Billing and Posting Clerks,145,Louisiana
Remote,162,31,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",139,Louisiana
Remote,100,17,First-Line Supervisors of Office and Administrative Support Workers,122,Louisiana
Remote,104,35,Social and Human Service Assistants,116,Louisiana
Physical+Remote,-40,0,Registered Nurses,5269,Maine
Physical+Remote,-16,-8,Heavy and Tractor-Trailer Truck Drivers,4451,Maine
Physical+Remote,-19,6,First-Line Supervisors of Retail Sales Workers,2184,Maine
Physical+Remote,-2,7,Retail Salespersons,2129,Maine
Physical+Remote,-6,5,Customer Service Representatives,1830,Maine
Physical+Remote,19,18,Light Truck or Delivery Services Drivers,1312,Maine
Physical+Remote,-25,20,Personal Care Aides,1192,Maine
Physical+Remote,30,5,Nursing Assistants,999,Maine
Physical+Remote,41,80,Driver/Sales Workers,903,Maine
Physical+Remote,68,10,Childcare Workers,866,Maine
Remote,-9,-9,Insurance Sales Agents,261,Maine
Remote,71,8,Customer Service Representatives,168,Maine
Remote,65,14,"Software Developers, Applications",130,Maine
Remote,310,-22,Registered Nurses,119,Maine
Remote,875,52,Telemarketers,117,Maine
Remote,281,19,"Computer Occupations, All Other",80,Maine
Remote,3750,45,Loan Officers,77,Maine
Remote,62,15,Computer User Support Specialists,68,Maine
Remote,1425,11,Childcare Workers,61,Maine
Remote,0,39,Loan Interviewers and Clerks,57,Maine
Remote,106,-11,Insurance Sales Agents,806,Maryland
Remote,78,-3,"Software Developers, Applications",690,Maryland
Remote,3785,7,Childcare Workers,505,Maryland
Remote,48,6,"Computer Occupations, All Other",365,Maryland
Remote,59,-25,Customer Service Representatives,294,Maryland
Remote,5,-12,Network and Computer Systems Administrators,254,Maryland
Remote,35,-14,Computer Systems Analysts,234,Maryland
Remote,25,-8,Computer User Support Specialists,212,Maryland
Remote,104,-7,Web Developers,210,Maryland
Remote,44,-13,Information Security Analysts,137,Maryland
Physical+Remote,-23,-7,Heavy and Tractor-Trailer Truck Drivers,19458,Maryland
Physical+Remote,-27,-9,Registered Nurses,13644,Maryland
Physical+Remote,1,-4,"Software Developers, Applications",8735,Maryland
Physical+Remote,-18,4,Retail Salespersons,6106,Maryland
Physical+Remote,-23,-2,First-Line Supervisors of Retail Sales Workers,5776,Maryland
Physical+Remote,-8,-5,"Computer Occupations, All Other",5143,Maryland
Physical+Remote,-11,-6,Network and Computer Systems Administrators,4929,Maryland
Physical+Remote,42,19,Stock Clerks and Order Fillers,4524,Maryland
Physical+Remote,-10,8,Light Truck or Delivery Services Drivers,3998,Maryland
Physical+Remote,110,4,Childcare Workers,3986,Maryland
Physical+Remote,-31,-5,Registered Nurses,17243,Massachusetts
Physical+Remote,-18,-6,"Software Developers, Applications",12875,Massachusetts
Physical+Remote,-34,-4,Heavy and Tractor-Trailer Truck Drivers,12145,Massachusetts
Physical+Remote,-23,3,Retail Salespersons,7506,Massachusetts
Physical+Remote,163,13,Childcare Workers,6959,Massachusetts
Physical+Remote,78,24,Stock Clerks and Order Fillers,6450,Massachusetts
Physical+Remote,-27,-1,First-Line Supervisors of Retail Sales Workers,6275,Massachusetts
Physical+Remote,-16,-8,"Computer Occupations, All Other",6177,Massachusetts
Physical+Remote,-27,-13,Marketing Managers,5781,Massachusetts
Physical+Remote,-27,-6,Customer Service Representatives,4871,Massachusetts
Remote,79,-1,"Software Developers, Applications",1161,Massachusetts
Remote,5918,22,Childcare Workers,1023,Massachusetts
Remote,112,1,"Computer Occupations, All Other",482,Massachusetts
Remote,90,-14,Customer Service Representatives,452,Massachusetts
Remote,81,-5,Marketing Managers,408,Massachusetts
Remote,-3,-26,Sales Managers,312,Massachusetts
Remote,-22,-11,Insurance Sales Agents,302,Massachusetts
Remote,44,8,Computer User Support Specialists,272,Massachusetts
Remote,55,-16,Network and Computer Systems Administrators,239,Massachusetts
Remote,13,-7,Computer Systems Analysts,237,Massachusetts
Physical+Remote,-32,-4,Heavy and Tractor-Trailer Truck Drivers,26609,Michigan
Physical+Remote,-43,7,Registered Nurses,14283,Michigan
Physical+Remote,-10,-3,First-Line Supervisors of Retail Sales Workers,12844,Michigan
Physical+Remote,-6,1,Retail Salespersons,12084,Michigan
Physical+Remote,8,12,Light Truck or Delivery Services Drivers,7580,Michigan
Physical+Remote,55,12,Stock Clerks and Order Fillers,6983,Michigan
Physical+Remote,-21,1,Customer Service Representatives,6628,Michigan
Physical+Remote,102,10,Childcare Workers,4997,Michigan
